time,sample,AF3,T7,Pz,T8,AF4,marker_hardware
1772893792.6356,102,4241.538,4448.205,4121.538,4159.487,4208.718,450.0
1772893792.6434,103,4260.0,4445.128,4122.051,4176.923,4247.179,16218.0
1772893792.6511,104,4274.359,4387.179,4130.769,4182.051,4252.308,450.0
1772893792.6589,105,4257.436,4374.872,4140.0,4161.026,4216.41,450.0
1772893792.6666,106,4249.231,4411.282,4120.513,4161.026,4212.308,450.0
1772893792.6744,107,4252.821,4422.564,4125.641,4181.026,4229.744,16218.0
1772893792.6822,108,4245.128,4416.41,4145.641,4180.0,4228.205,450.0
1772893792.6899,109,4238.462,4418.974,4137.949,4168.205,4221.026,450.0
1772893792.6977,110,4245.641,4421.026,4137.436,4172.308,4225.128,450.0
1772893792.7054,111,4253.846,4425.128,4146.154,4180.513,4232.308,16218.0
1772893792.7132,112,4251.795,4409.231,4143.59,4168.718,4223.59,450.0
1772893792.721,113,4257.436,4378.974,4139.487,4166.154,4214.359,450.0
1772893792.7287,114,4253.333,4396.41,4145.641,4181.026,4221.026,450.0
1772893792.7365,115,4224.103,4436.41,4153.333,4185.641,4222.564,16218.0
1772893792.7443,116,4218.462,4413.846,4156.41,4175.897,4206.667,450.0
1772893792.752,117,4253.846,4387.692,4155.385,4160.0,4205.641,450.0
1772893792.7598,118,4296.41,4443.59,4158.974,4158.974,4244.103,450.0
1772893792.7675,119,4327.692,4464.615,4158.462,4174.872,4275.897,16218.0
1772893792.7753,120,4356.923,4388.205,4167.179,4178.974,4278.462,450.0
1772893792.783,121,4377.949,4354.359,4173.333,4173.333,4289.744,450.0
1772893792.7909,122,4369.231,4408.718,4151.282,4176.41,4288.718,450.0
1772893792.7986,123,4354.359,4446.154,4138.462,4186.154,4270.256,16218.0
1772893792.8064,124,4341.538,4430.256,4142.564,4181.026,4259.487,450.0
1772893792.8141,125,4324.615,4390.769,4151.282,4155.897,4244.103,450.0
1772893792.8219,126,4320.513,4387.692,4166.667,4153.846,4237.949,450.0
1772893792.8296,127,4320.0,4417.949,4160.513,4166.667,4238.974,234.0
1772893792.8374,0,4307.179,4405.641,4156.41,4157.436,4222.051,450.0
1772893792.8452,1,4295.385,4372.308,4162.051,4151.282,4211.795,450.0
1772893792.853,2,4306.667,4406.154,4152.308,4170.769,4241.538,16185.0
1772893792.8607,3,4323.077,4454.872,4143.077,4181.538,4264.615,450.0
1772893792.8685,4,4317.436,4432.308,4144.615,4169.231,4241.538,16186.0
